default,amount,grade,years,ownership,income,age
0,1000,1,2.0,3,19200.0,24
1,6500,0,2.0,0,66000.0,28
0,2400,0,2.0,3,60000.0,36
0,10000,2,3.0,3,62000.0,24
1,4000,2,2.0,3,20000.0,28
1,5000,0,2.0,3,12000.0,27
1,6000,2,1.0,3,48000.0,23
0,5000,3,2.0,3,40000.0,21
0,4200,0,6.0,3,60000.0,29
0,12000,0,4.0,0,85000.0,22
1,3600,0,3.0,3,70000.0,27
0,6000,1,1.0,3,72000.0,25
1,4000,0,2.0,3,54000.0,27
0,13000,2,2.0,0,65000.0,22
1,1500,0,3.0,3,45000.0,24
1,4800,3,2.0,3,75000.0,24
1,1200,2,0.0,3,4800.0,22
0,7000,0,0.0,3,75800.0,23
1,12000,2,3.0,0,40000.0,23
0,10000,3,2.0,3,90000.0,21
0,2475,0,16.0,0,63600.0,23
1,7000,2,0.0,3,54000.0,28
0,10000,3,1.0,3,72000.0,38
0,7200,3,1.0,2,42996.0,25
1,7600,2,1.0,3,67680.0,25
0,1800,0,12.0,3,35000.0,29
0,7200,1,1.0,0,73200.0,32
0,2600,1,2.0,3,40792.0,35
0,7000,1,0.0,0,85000.0,23
0,12000,1,11.0,0,136000.0,32
0,7875,1,15.0,0,55500.0,36
0,6000,0,0.0,3,26400.0,22
0,4000,3,6.0,0,45000.0,31
0,6250,0,3.0,3,54000.0,23
0,10000,0,0.0,3,46200.0,22
0,4000,2,0.0,3,90000.0,28
0,17000,1,1.0,0,65000.0,26
1,12000,0,1.0,3,60000.0,30
0,3500,0,1.0,3,70000.0,23
0,18000,4,6.08633190118,2,72000.0,25
1,16750,2,18.0,3,60000.0,23
1,25000,3,3.0,0,116736.0,23
0,2000,1,0.0,3,24432.0,22
1,2100,3,0.0,3,14400.0,33
1,4000,0,6.08633190118,3,40000.0,25
0,13500,1,0.0,0,48526.8,22
1,6500,3,4.0,3,36000.0,30
1,9250,0,0.0,0,45896.0,25
0,11000,0,4.0,3,46000.0,22
0,7200,1,1.0,3,48000.0,30
1,3200,0,0.0,3,12000.0,24
0,8000,2,8.0,3,70000.0,26
0,1800,1,6.08633190118,3,14400.0,41
0,3600,0,12.0,0,93000.0,22
1,5000,1,3.0,3,65004.0,22
0,6950,0,11.0,0,30000.0,22
1,7500,1,2.0,0,81000.0,33
1,12000,3,2.0,3,27000.0,47
1,18000,0,7.0,0,90000.0,29
1,5000,1,3.0,3,40040.0,27
0,10000,2,34.0,2,75000.0,30
0,7500,2,7.0,3,55000.0,28
1,2000,3,1.0,3,30972.0,24
0,1000,2,2.0,3,7000.0,24
1,8000,1,1.0,3,33996.0,22
1,7750,4,2.0,3,26000.0,21
0,6000,0,0.0,3,48000.0,30
0,5000,1,1.0,0,51600.0,23
0,5000,0,2.0,3,58979.28,26
0,10000,2,11.0,0,153000.0,33
1,3500,3,2.0,0,24000.0,25
1,9000,0,9.0,3,42140.0,21
1,9000,1,1.0,3,51000.0,37
0,14000,0,14.0,0,116000.0,28
0,10500,1,6.0,3,38400.0,33
1,11200,2,5.0,0,33280.0,21
1,12000,3,2.0,0,72000.0,26
0,12500,0,3.0,0,32500.0,25
1,8000,1,3.0,3,14400.0,22
1,25000,1,12.0,0,616000.0,28
